|·█··················█····█····█·········█·█··················| 10cc67a9 0.636
|················█···········█··█···█···········█···█···█·····| c6fb6115 0.701
|··················█···········█··█···█·······················| bb2ce990 0.624
|·█·····█·······█·······█··········██········█··········█·····| c49b345f 0.903
|··············█·································█············| 5e81ef3d 0.658
|·█·····█·······█·······█··········██········█··········█·····| d307b094 0.911
|·········································█················█··| ca56b5a3 0.692
|█···············█····················█·······················| 33b5a36b 0.608
|················█·█··█·········█··█······█·······█···········| 836a9582 0.731
|·············█····█··········█····················█··········| e13f89c7 0.679
|······█······█·█································██·██·····█·█| e08d22df 0.790
|··█·······················································█··| 7c0d66f8 0.698
|·············█·········█··············█···█········█·····█···| 4c0532ee 0.710
|··································█·█··················█··█··| 969c41be 0.925
|··································█·█··················█··█··| c5e88b7c 0.904
|······································█······················| db7e4261 0.605
|█···············█·█··················██······················| ba1b20bc 0.609
|················█·█··█·········█··█······█·······█···········| a22e4bb2 0.732
|·█······█·····█··█····█·············█····█·············█·█···| 7fe76970 0.877


|······································█······················| db7e4261 0.606
|······································█······················| 9b1ae045 0.610
|····█··········█·············································| 7844bf88 0.648
|·····█·····█·█··········█·█········██························| c4c53415 0.667
|······················█··█····█···██·█··█······█····█········| 385c8e34 0.687
|······█······█·█································██·██·····█·█| 2bdfc1ed 0.789
|█···············█····················█·······················| 33b5a36b 0.612
|█···············█·█··················█··█················█···| 3cc80762 0.678
|··············█·································█············| 85e73ef0 0.660
|···██············█·························█···█············█| 361c3271 0.680
|·█····█········█····█··················██·················█··| ad651b34 0.712
|···········█··█······················█··█···██·············█·| 7091d8b9 0.673
|······································█······················| e8ea3544 0.600
|···············█······················█······················| 3911d261 0.605
|····█···············█········································| 4d6befff 0.640
|···········█··█······················█··█···██·············█·| 70ecf459 0.674
|·····█··█·····█······█·············█·························| b5e84730 0.647
|·█····█········█····█··················██·················█··| 9dcdd81a 0.711
|·········█······█··············█·····██···················█··| ee1650f5 0.669
|····█···············█········································| 4ffa3488 0.630
|··············█····██················█·······················| 75adc106 0.611
|····················█·············██········█·█········█·····| dc5744a0 0.726
|···············█······················█······················| eb23cea0 0.599
|█···············█·█··················█··█················█···| 84c71c64 0.670
|···············█······················█······················| ebf56ea4 0.596 *
|····█···············█········································| 33af9304 0.638
|·····························································| c09e9a43 0.634
|·············█····█··········█····················█··········| 2dde231b 0.675
|···········█··█······················█··█···██·············█·| 68a98a5f 0.669
|···············█··················█·█·█················█··█··| a65e3fab 0.906
|····················█·············██········█·█········█·····| 8a88ecf1 0.720
|·············█····█··········█····················█··········| e9239136 0.668
|█···············█·█··················█··█················█···| 20b35870 0.668
|··················█···········█··█···█·······················| 945d897a 0.618
|··············█·································█············| d73d837d 0.654
|·█······█·····█··█····█·············█····█·············█·█···| aa6c1a64 0.930
|·········█······█··············█·····██···················█··| 1549875e 0.677
|·····························································| ea949921 0.646
|········█·█···█········█·············█····█··················| d23ab05d 0.631
|···············█··················█·█·█················█··█··| 75c612a4 0.893
|·····································█·······················| b0750d49 0.611
|······█······██··█··········█········█·█·····················| 1d8d2c61 0.618
|█···············█····················█·······················| 086d6a2f 0.614
|····█·································█··········█·█······█··| dff27b4a 0.668
|····················█·············██········█·█········█·····| 53a20a3b 0.715
|···········█··█······················█··█···██·············█·| f2a47912 0.668
|····█·································█··········█·█······█··| 4cd46a68 0.673
|·█·····█·······█·······█·····································| c7b86764 0.644
|·············█·········█··················█········█·····█···| be249241 0.716
|·····························█··█·█············█·············| cd2db48f 0.665
|···············█··················█·█·█················█··█··| 41a5397a 0.890
|·····································█···█···········█·······| 0a09c2c6 0.640
|····█···············█········································| ed8a51a2 0.619
|····█···············█········································| 858554e0 0.610


|···············█······················█······················| 55f05bd0 0.612
|·····································█·······················| eb52cd06 0.647
|█···············█····················█·····················█·| 7178be22 0.661
|····█·································█··········█·█······█··| 3a290af4 0.689
|·············█····█··········█····················█··········| 6aeb9d63 0.693
|···············█··················█·█·█················█··█··| ffc1b340 0.914
|····█··········█································█············| 0871fd94 0.672
|····················█········································| 9cddbaa3 0.655
|·······█·······················█·█···█····█····█·····█·····█·| 05f345aa 0.679
|·········█······█··············█·····██···················█··| 7894598b 0.690
|···············█··················█·█·█················█··█··| ce6bc7e1 0.916
|····█··········█································█············| b6267c02 0.663
|·····································█··█···██·············█·| 9b830e13 0.692
|···············█················█·····█······················| e2889c0d 0.620
|······································█······················| db7e4261 0.626
|·····································█··█···██·············█·| 98b216fc 0.688
|································█·····█··············█·······| e8c809b0 0.655
|·············█·········█··················█··················| 902fe00f 0.677
|·····························································| 7b320763 0.643
|···············█······················█······················| eb23cea0 0.619
|······················█··█····█···██·█··█······█·············| 92cc6cc2 0.676
|····█··········█································█············| 62d89835 0.668
|·······█·······················█·█···█····█····█·····█·····█·| d3fcef49 0.671
|···············█··················█·█·█················█··█··| bdb732e9 0.911
|································█·····█··············█·······| 7300290b 0.641
|···██············█·························█···█············█| 9bd6661e 0.688
|····█··········█································█············| 0b295872 0.665
|··············█····██················█·······················| ee60246b 0.629
|········█·█············█······█······█····█·········█········| 0560d614 0.675
|·█······█·····█··█····█·············█····█·············█·█···| 8b5a417b 0.927
|█··············██·█··················█··█················█···| 099f4c78 0.682
|·············█·········█··················█··················| 4fd8dc24 0.659
|································█·····█··············█·······| 23ade613 0.639
|····················█········································| cb73e1b3 0.643
|···································█··█······················| 5cb0be8e 0.612
|···············█······················█······················| 3911d261 0.611
|······································█······················| e8ea3544 0.611
|·············█·········█··················█··················| 9e87a0c0 0.665
|·····································█···█···········█·······| 5f2517f3 0.660
|···············█··················█·█·█················█··█··| 5b006857 0.908
|······█······█·█······················█·········██·██·····█·█| 88c7cd32 0.752
|····█··········█································█············| d7b63d70 0.665
|····█··········█································█············| 1a95a23f 0.663
|·····································█··█···██·············█·| dce4439c 0.674
|····█··········█································█············| 0fe93c94 0.659
|········█·█············█······█······█····█·········█········| 862d22e6 0.663
|·····································█··█···██·············█·| 3228c305 0.676
|····█·································█··········█·█······█··| b1e79da1 0.677
|····█··········█································█············| 6659f8a1 0.664
|···············█······················█······················| ebf56ea4 0.608
|·············█·········█··················█··················| 8b262f06 0.645
|█··············██·█··················█··█················█···| 54a51324 0.666
|··············█·································█············| 09ec1868 0.642
|····················█········································| dcde1c88 0.603 *


|·█············█········█··············█············█·········| 208404ef 0.688
|··············█····██················█···█···········█·······| 7209b8d9 0.693
|█··············██····················██····················█·| 09769167 0.697
|···█·····█······█··············█·····██···················█··| c58f4321 0.728
|···············█··············█··█···█····█·········█········| fb63e040 0.719
|····█··········█··················█·█·█················█··█··| 2f5451ec 0.968
|····················█········································| 4b3633a0 0.636
|·····································█·······················| db947a94 0.629
|·············█·········█··················█··················| b99880e1 0.673
|······················█··█····█···██·██·█······█·············| 028cdc12 0.706
|··············█····██················█···█···········█·······| 1f7e98da 0.693
|·····························································| 7aea9341 0.637
|·····························································| f6528eed 0.649
|·····································█··█···██·············█·| cf1db122 0.736
|···············█······················█······················| ebf56ea4 0.624
|█··············██·█··················█··█················█···| 3708746a 0.726
|···············█··············█··█···█····█·········█········| 089e0bc4 0.710
|·█······█·····█··█····█·············█····█·············█·█···| ea3e8102 0.987
|····················█········································| 0dbf8336 0.646
|···█·····█······█··············█·····██···················█··| fd488935 0.723
|················█····················█·······················| e9318130 0.630
|······················█··█····█···██·██·█······█·············| 63ab97dd 0.707
|·············█·········█··················█··················| 577e0ead 0.676
|·····································█·······················| c735712d 0.625
|···············█······················█······················| fbe12462 0.623
|·············█·········█··················█··················| 9197a9e2 0.677
|···█·····█······█··············█·····██···················█··| 91fc6786 0.728
|····█··········█··················█·█·█················█··█··| 5e181d87 0.977
|····█··········█··················█·█·█················█··█··| cb14516b 0.979
|·····································█··█···██·············█·| 180cc617 0.727
|·············█·········█··················█··················| fb378de1 0.666
|·█············█········█··············█············█·········| b83849f7 0.672
|································█·····█··············█·····█·| b35e92df 0.741
|··············█····██················█···█···········█·······| 7bef4fd4 0.682
|···██············█·························█···█············█| 04bcfd86 0.753
|·····································█··█···██·············█·| 0b37e1b7 0.731
|······································█······················| e8ea3544 0.607
|···············█··············█··█···█····█·········█········| 7bc553b3 0.706
|····················█········································| dcde1c88 0.647
|·············█·········█··················█··················| b6429cdb 0.675
|····█··········█··················█·█·█················█··█··| a480248f 0.961
|·█············█········█··············█············█·········| dc301fa5 0.677
|·█············█········█··············█············█·········| bca57760 0.672
|·█············█········█··············█············█·········| b217e43b 0.673
|················█····················█·······················| a1445a24 0.623
|···············█······················█······················| 3911d261 0.614
|·█············█········█··············█············█·········| 3e597ec8 0.674
|···············█······················█······················| 55f05bd0 0.612
|································█·····█··············█·····█·| e7e85d2c 0.749
|·················█·················█··█······················| a7d574cd 0.612
|······································█······················| cc04482f 0.595 *
|·█············█········█··············█············█·········| 6b00f640 0.658
|·············█·········█··················█··················| bd8747f6 0.641
|····█··········█··················█·█·█················█··█··| 694ca182 0.902


|····················█········································| 562746eb 0.656
|···············█··························█··················| c432ddf6 0.684
|···············█··························█··················| f39ebe26 0.688
|····█···········█····················█·············█·········| f136c6fb 0.699
|···············█··············█··█···█····█·········█········| 10cafd53 0.718
|·····································█······················█| 3852aaed 0.780
|······································█······················| cc04482f 0.620
|·····································█··█···██·············█·| 1ce69cec 0.755
|···············█··············█··█···█····█·········█········| a31d4141 0.731
|··············█····██···········█·····█··············█·····█·| f7c8e40f 0.772
|··············█····██···········█·····█··············█·····█·| ac7d7436 0.765
|···············█·█················███·█················█·····| 0281573e 0.938
|···············█······················█······················| 3911d261 0.628
|····█···········█····················█·············█·········| aec9fb0a 0.704
|·█············█········█·············██··█···········█·······| a3095606 0.722
|·····································█··█···██·············█·| 19b62bf4 0.763
|···············█······················█············█······█··| 9edfb5f0 0.752
|·█············█········█·············██··█···········█·······| ef219f99 0.730
|··············█····██···········█·····█··············█·····█·| c144b25f 0.777
|···············█··························█··················| 99b973be 0.686
|···············█··························█··················| e7592ff2 0.692
|·····································█······················█| e132f3bb 0.784
|···············█·█················███·█················█·····| a919a9aa 0.930
|····█···········█····················█·············█·········| 954f0a27 0.701
|·····································█······················█| 20f76c8f 0.773
|█··············██····················██····················█·| 76335a2e 0.695
|···············█··························█··················| a36f1aa3 0.682
|·····································█··█···██·············█·| 14105eb4 0.747
|···█·····█······█··············█·····██···················█··| f0bbd9de 0.735
|···············█·█················███·█················█·····| 620afe8b 0.928
|···············█············█·········█······················| 027660a7 0.622
|···············█··············█··█···█····█·········█········| 14d52777 0.723
|···█·····█······█··············█·····██···················█··| b15a8b78 0.742
|·····································█······················█| f6a78f89 0.768
|·················█·················█··█······················| a7d574cd 0.637
|·█······█·····█··█····█·············█····█·············█·█···| 00013135 0.996
|···············█······················█············█······█··| 6cd86747 0.732
|·····································█··█···██·············█·| f8df1424 0.747
|······································█······················| e8ea3544 0.624
|···············█··························█··················| 47aee218 0.671
|·····································█······················█| 92ee0a81 0.773
|····█···········█····················█·············█·········| 06844615 0.690
